timestamp,num_requests_running,num_requests_waiting,avg_generation_throughput_toks_per_s,kv_cache_usage_perc,desired_replicas,ready_replicas,available_replicas
1776225821.9091024,0.0,0.0,0.0,0.0366300366300365,1.0,1.0,1.0
1776225826.9537785,0.0,0.0,0.0,0.0366300366300365,1.0,1.0,1.0
1776225832.0078528,0.0,0.0,0.0,0.0366300366300365,1.0,1.0,1.0
1776225837.0434253,1.0,0.0,0.21818181818181817,0.1098901098901095,1.0,1.0,1.0
1776225842.094462,0.0,0.0,0.6,0.0366300366300365,1.0,1.0,1.0
1776225847.1634312,0.0,0.0,0.6,0.0366300366300365,1.0,1.0,1.0
1776225852.22634,0.0,0.0,0.6,0.0366300366300365,1.0,1.0,1.0
1776225857.2838402,1.0,0.0,0.9454545454545454,0.1098901098901095,1.0,1.0,1.0
1776225862.341821,0.0,0.0,1.4,0.0366300366300365,1.0,1.0,1.0
1776225867.4013145,1.0,0.0,1.4181818181818182,0.1098901098901095,1.0,1.0,1.0
1776225872.4591799,3.0,0.0,1.9454545454545453,0.219780219780219,1.0,1.0,1.0
1776225877.513539,4.0,0.0,2.4181818181818184,0.2564102564102555,1.0,1.0,1.0
1776225882.5692096,4.0,0.0,3.5818181818181816,0.366300366300365,1.0,1.0,1.0
1776225887.6260974,4.0,0.0,4.436363636363637,0.366300366300365,1.0,1.0,1.0
1776225892.6915617,3.0,0.0,4.927272727272727,0.2564102564102555,1.0,1.0,1.0
1776225897.749789,4.0,0.0,4.963636363636363,0.293040293040292,1.0,1.0,1.0
1776225902.8087475,4.0,0.0,5.454545454545454,0.2564102564102555,1.0,1.0,1.0
1776225907.8605528,4.0,0.0,6.763636363636364,0.3296703296703285,1.0,1.0,1.0
1776225912.9190826,4.0,0.0,7.345454545454545,0.293040293040292,1.0,1.0,1.0
1776225917.981438,4.0,0.0,7.8181818181818175,0.293040293040292,1.0,1.0,1.0
1776225923.031421,4.0,0.0,8.945454545454545,0.293040293040292,1.0,1.0,1.0
1776225928.0825233,4.0,0.0,9.272727272727272,0.2564102564102555,1.0,1.0,1.0
1776225933.1389272,4.0,0.0,9.2,0.2564102564102555,1.0,1.0,1.0
1776225938.1970894,4.0,0.0,9.272727272727272,0.2564102564102555,1.0,1.0,1.0
1776225943.2557929,3.0,0.0,9.327272727272726,0.219780219780219,1.0,1.0,1.0
