timestamp,num_requests_running,num_requests_waiting,avg_generation_throughput_toks_per_s,kv_cache_usage_perc,ready_replicas
1776106672.5307548,16.0,0.0,0.0,1.68498168498169,1.0
1776106677.5625088,2.0,0.0,0.09090909090909091,0.1098901098901095,1.0
1776106682.5992973,2.0,0.0,0.09090909090909091,0.1098901098901095,1.0
1776106687.6349363,5.0,0.0,0.18181818181818182,0.2564102564102555,1.0
1776106692.6809065,9.0,0.0,0.34545454545454546,0.586080586080584,1.0
1776106697.7219605,9.0,0.0,0.34545454545454546,0.586080586080584,1.0
1776106702.7502253,13.0,0.0,0.5818181818181818,0.879120879120876,1.0
1776106707.7846234,16.0,0.0,1.1636363636363636,1.025641025641022,1.0
1776106712.8202157,16.0,0.0,2.618181818181818,1.098901098901095,1.0
1776106717.8554752,16.0,0.0,4.072727272727272,1.172161172161168,1.0
1776106722.893374,16.0,0.0,5.509090909090909,1.2820512820512775,1.0
1776106727.9320614,16.0,0.0,5.709090909090909,1.2820512820512775,1.0
1776106732.9669435,16.0,0.0,5.618181818181818,1.2820512820512775,1.0
1776106738.005735,16.0,0.0,5.8,1.1355311355311315,1.0
1776106743.041566,16.0,0.0,5.709090909090909,1.1355311355311315,1.0
1776106748.0818975,16.0,0.0,5.545454545454545,1.1355311355311315,1.0
1776106753.121071,16.0,0.0,5.545454545454545,1.1355311355311315,1.0
1776106758.1638503,16.0,0.0,5.872727272727272,0.952380952380949,1.0
1776106763.2063375,16.0,0.0,7.036363636363636,0.952380952380949,1.0
1776106768.2424028,16.0,0.0,6.745454545454545,0.879120879120876,
1776106773.284928,17.0,0.0,5.509090909090909,0.952380952380949,
1776106778.322918,17.0,0.0,4.072727272727272,0.952380952380949,
1776106783.360922,17.0,0.0,4.054545454545455,0.952380952380949,
1776106788.3942602,17.0,0.0,4.054545454545455,0.952380952380949,
1776106793.430606,16.0,0.0,4.1090909090909085,1.1355311355311315,
1776106798.4695349,16.0,0.0,4.1090909090909085,1.1355311355311315,1.0
1776106803.5103734,16.0,0.0,4.1090909090909085,1.1355311355311315,1.0
1776106808.5519636,16.0,0.0,4.1090909090909085,1.1355311355311315,1.0
1776106813.587526,16.0,0.0,3.5454545454545454,1.1355311355311315,1.0
1776106818.6148548,16.0,0.0,1.7999999999999998,1.1355311355311315,1.0
1776106823.6510599,16.0,0.0,0.6363636363636364,1.1355311355311315,1.0
