timestamp,num_requests_running,num_requests_waiting,avg_generation_throughput_toks_per_s,kv_cache_usage_perc,desired_replicas,ready_replicas,available_replicas
1776225084.9007483,0.0,0.0,0.0,0.009157509157509125,5.0,4.0,4.0
1776225089.9420333,0.0,0.0,0.0,0.0366300366300365,1.0,1.0,1.0
1776225094.9799597,0.0,0.0,0.0,0.0366300366300365,1.0,1.0,1.0
1776225100.0332336,0.0,0.0,0.0,0.0366300366300365,1.0,1.0,1.0
1776225105.083907,1.0,0.0,0.4909090909090909,0.1098901098901095,1.0,1.0,1.0
1776225110.1380944,0.0,0.0,0.6,0.0366300366300365,1.0,1.0,1.0
1776225115.189695,0.0,0.0,0.6,0.0366300366300365,1.0,1.0,1.0
1776225120.2490873,1.0,0.0,0.6181818181818182,0.1098901098901095,1.0,1.0,1.0
1776225125.3081968,1.0,0.0,1.1454545454545455,0.1098901098901095,1.0,1.0,1.0
1776225130.3670254,0.0,0.0,1.4,0.0366300366300365,1.0,1.0,1.0
1776225135.426746,1.0,0.0,1.4545454545454546,0.1098901098901095,1.0,1.0,1.0
1776225140.482976,3.0,0.0,2.090909090909091,0.219780219780219,1.0,1.0,1.0
1776225145.5316877,4.0,0.0,2.8909090909090907,0.3296703296703285,1.0,1.0,1.0
1776225150.5885208,4.0,0.0,4.2,0.366300366300365,1.0,1.0,1.0
1776225155.6381173,3.0,0.0,4.890909090909091,0.293040293040292,1.0,1.0,1.0
1776225160.6971588,3.0,0.0,4.745454545454545,0.2564102564102555,1.0,1.0,1.0
1776225165.7487602,3.0,0.0,5.2727272727272725,0.219780219780219,1.0,1.0,1.0
1776225170.8035636,4.0,0.0,6.0,0.2564102564102555,1.0,1.0,1.0
1776225175.8510213,3.0,0.0,6.9818181818181815,0.2564102564102555,1.0,1.0,1.0
1776225180.9098246,3.0,0.0,7.381818181818182,0.2564102564102555,1.0,1.0,1.0
1776225185.960329,3.0,0.0,8.072727272727272,0.219780219780219,1.0,1.0,1.0
1776225191.0174308,3.0,0.0,9.072727272727272,0.219780219780219,1.0,1.0,1.0
1776225196.074463,2.0,0.0,9.290909090909091,0.1831501831501825,1.0,1.0,1.0
1776225201.1267366,4.0,0.0,8.836363636363636,0.2564102564102555,1.0,1.0,1.0
1776225206.1768343,4.0,0.0,8.763636363636364,0.2564102564102555,1.0,1.0,1.0
1776225211.2295084,3.0,0.0,8.763636363636364,0.219780219780219,1.0,1.0,1.0
1776225216.2842636,4.0,0.0,8.909090909090908,0.2564102564102555,1.0,1.0,1.0
1776225221.3433602,4.0,0.0,9.127272727272727,0.2564102564102555,1.0,1.0,1.0
1776225226.4001262,4.0,0.0,9.472727272727273,0.2564102564102555,1.0,1.0,1.0
1776225231.455936,3.0,0.0,9.10909090909091,0.219780219780219,1.0,1.0,1.0
1776225236.5125058,4.0,0.0,8.963636363636363,0.2564102564102555,1.0,1.0,1.0
1776225241.5646815,3.0,0.0,8.436363636363636,0.219780219780219,1.0,1.0,1.0
1776225246.6208313,4.0,0.0,8.472727272727273,0.2564102564102555,1.0,1.0,1.0
1776225251.6831193,4.0,0.0,8.236363636363636,0.293040293040292,1.0,1.0,1.0
1776225256.7400715,3.0,0.0,9.127272727272727,0.2564102564102555,1.0,1.0,1.0
1776225261.7967367,4.0,0.0,8.527272727272727,0.293040293040292,1.0,1.0,1.0
1776225266.8473506,4.0,0.0,8.472727272727273,0.293040293040292,1.0,1.0,1.0
1776225271.9019563,4.0,0.0,9.02,0.2564102564102555,1.0,1.0,1.0
1776225276.9581778,4.0,0.0,8.545454545454545,0.2564102564102555,1.0,1.0,1.0
1776225282.0121145,4.0,0.0,9.072727272727274,0.293040293040292,1.0,1.0,1.0
1776225287.067906,3.0,0.0,8.618181818181817,0.219780219780219,1.0,1.0,1.0
1776225292.126571,3.0,0.0,8.472727272727273,0.1831501831501825,1.0,1.0,1.0
1776225297.1927283,4.0,0.0,8.163636363636364,0.2564102564102555,1.0,1.0,1.0
